question,answer
Η δημοσιονομική πολιτική επηρεάζει την οικονομική δραστηριότητα.,σωστό
Τα δημόσια έσοδα προέρχονται μόνο από δάνεια.,λάθος
Οι κρατικές δαπάνες περιλαμβάνουν και την παιδεία.,σωστό
Ο προϋπολογισμός του κράτους περιλαμβάνει μόνο τα χρέη.,λάθος
Το δημοσιονομικό πλεόνασμα σημαίνει ότι τα έσοδα είναι περισσότερα από τις δαπάνες.,σωστό
Η δημοσιονομική πολιτική επηρεάζει την οικονομική δραστηριότητα.,σωστό
Τα δημόσια έσοδα προέρχονται μόνο από δάνεια.,λάθος
Οι κρατικές δαπάνες περιλαμβάνουν και την παιδεία.,σωστό
Ο προϋπολογισμός του κράτους περιλαμβάνει μόνο τα χρέη.,λάθος
Το δημοσιονομικό πλεόνασμα σημαίνει ότι τα έσοδα είναι περισσότερα από τις δαπάνες.,σωστό
Η δημοσιονομική πολιτική επηρεάζει την οικονομική δραστηριότητα.,σωστό
Τα δημόσια έσοδα προέρχονται μόνο από δάνεια.,λάθος
Οι κρατικές δαπάνες περιλαμβάνουν και την παιδεία.,σωστό
Ο προϋπολογισμός του κράτους περιλαμβάνει μόνο τα χρέη.,λάθος
Το δημοσιονομικό πλεόνασμα σημαίνει ότι τα έσοδα είναι περισσότερα από τις δαπάνες.,σωστό
Η δημοσιονομική πολιτική επηρεάζει την οικονομική δραστηριότητα.,σωστό
Τα δημόσια έσοδα προέρχονται μόνο από δάνεια.,λάθος
Οι κρατικές δαπάνες περιλαμβάνουν και την παιδεία.,σωστό
Ο προϋπολογισμός του κράτους περιλαμβάνει μόνο τα χρέη.,λάθος
Το δημοσιονομικό πλεόνασμα σημαίνει ότι τα έσοδα είναι περισσότερα από τις δαπάνες.,σωστό
