Question,Answer
Η παράγωγος της f(x) = x² είναι ______.,2x
Η παράγουσα της f(x) = 1 είναι ______.,x + C
Το ολοκλήρωμα της f(x) = cos(x) είναι ______.,sin(x) + C
Η συνάρτηση f(x) = ln(x) ορίζεται μόνο για x ______.,> 0
Η f(x) = e^x είναι ______ της ίδιας της.,παράγωγος
Το όριο της f(x) = 1/x καθώς x → ∞ είναι ______.,0
Η παράγωγος της f(x) = √x είναι ______.,1/(2√x)
Το ολοκλήρωμα της f(x) = 1 είναι ______.,x + C
Η f(x) = ln(e^x) ισούται με ______.,x
"Το εμβαδόν κάτω από τη f(x) = 2 στο διάστημα [0,3] είναι ______.",6
Η f(x) = sin(x) έχει περίοδο ______.,2π
Η παράγουσα της f(x) = x^3 είναι ______.,x^4/4 + C
Η f(x) = x^2 έχει ελάχιστο στο x = ______.,0
Η παράγωγος της f(x) = 1/x είναι ______.,-1/x^2
Η f(x) = cos(x) μηδενίζεται στο x = ______.,π/2
Η f(x) = 1/(x^2 + 1) έχει μέγιστο στο x = ______.,0
Το ολοκλήρωμα της f(x) = sec^2(x) είναι ______.,tan(x) + C
Η f(x) = |x - 3| έχει ελάχιστο στο x = ______.,3
Η f(x) = tan(x) δεν ορίζεται στο x = ______.,π/2
Η παράγωγος της f(x) = ln|x| είναι ______.,1/x
