term,definition
Πληθωρισμός,Γενική αύξηση των τιμών
Ανεργία,Κατάσταση όπου άτομα θέλουν αλλά δεν μπορούν να εργαστούν
Ανεργία ζήτησης,Οφείλεται σε μειωμένη κατανάλωση
Αγοραστική δύναμη,Ελαττώνεται με τον πληθωρισμό
Ποσοστό ανεργίας,Το μέγεθος των ανέργων ως ποσοστό του εργατικού δυναμικού
Πληθωρισμός,Γενική αύξηση των τιμών
Ανεργία,Κατάσταση όπου άτομα θέλουν αλλά δεν μπορούν να εργαστούν
Ανεργία ζήτησης,Οφείλεται σε μειωμένη κατανάλωση
Αγοραστική δύναμη,Ελαττώνεται με τον πληθωρισμό
Ποσοστό ανεργίας,Το μέγεθος των ανέργων ως ποσοστό του εργατικού δυναμικού
Πληθωρισμός,Γενική αύξηση των τιμών
Ανεργία,Κατάσταση όπου άτομα θέλουν αλλά δεν μπορούν να εργαστούν
Ανεργία ζήτησης,Οφείλεται σε μειωμένη κατανάλωση
Αγοραστική δύναμη,Ελαττώνεται με τον πληθωρισμό
Ποσοστό ανεργίας,Το μέγεθος των ανέργων ως ποσοστό του εργατικού δυναμικού
Πληθωρισμός,Γενική αύξηση των τιμών
Ανεργία,Κατάσταση όπου άτομα θέλουν αλλά δεν μπορούν να εργαστούν
Ανεργία ζήτησης,Οφείλεται σε μειωμένη κατανάλωση
Αγοραστική δύναμη,Ελαττώνεται με τον πληθωρισμό
Ποσοστό ανεργίας,Το μέγεθος των ανέργων ως ποσοστό του εργατικού δυναμικού
