Question,answer_1,answer_2,answer_3,answer_4,correct_answer
Ποιος από τους παρακάτω τύπους ορίζει συνάρτηση;,y^2 = x,y = √x,x^2 + y^2 = 1,x = |y|,β
Η συνάρτηση f(x) = x^2 + 2x + 1 είναι:,Γραμμική,Πολυωνυμική 2ου βαθμού,Εκθετική,Ρητή,β
Το πεδίο ορισμού της f(x) = 1/(x - 2) είναι:,ℝ,ℝ\{0},ℝ\{2},ℝ⁺,γ
Η f(x) = |x| είναι:,Γραμμική,Μονότονη,Περιττή,Άρτια,δ
"Αν f(x) = 3x + 2, τότε η αντίστροφη συνάρτηση f⁻¹(x) είναι:",(x - 2)/3,(x + 2)/3,3x - 2,x - 2,α
Η γραφική παράσταση της f(x) = x² είναι:,Ευθεία,Παραβολή,Υπερβολή,Κύκλος,β
Η συνάρτηση f(x) = x³ είναι:,Άρτια,Περιττή,Ούτε άρτια ούτε περιττή,Περιοδική,β
"Αν f(x) = √(x - 1), τότε το πεδίο ορισμού είναι:",x ≥ 1,x > 0,x ≤ 1,x ∈ ℝ,α
"Αν f(x) = x² - 4, τότε η εικόνα της είναι:","[-4, ∞)",ℝ,"[0, ∞)","(-∞, -4]",α
"Αν f(x) = 1/(x² + 1), τότε το σύνολο τιμών της είναι:","(0, 1]","[0, 1]","[0, ∞)",ℝ,α
Η συνάρτηση f(x) = e^x είναι:,Γραμμική,Πολυωνυμική,Εκθετική,Λογαριθμική,γ
Μια συνάρτηση είναι γνησίως αύξουσα όταν:,f(x₁) < f(x₂) για x₁ < x₂,f(x₁) > f(x₂) για x₁ < x₂,"f(x₁) = f(x₂) για κάθε x₁, x₂",Δεν αλλάζει πρόσημο,α
Η συνάρτηση f(x) = x⁴ είναι:,Περιττή,Άρτια,Ούτε άρτια ούτε περιττή,Μονότονη,β
Πότε δύο συναρτήσεις είναι ίσες;,Έχουν ίδιο τύπο,Ίδιο πεδίο ορισμού και τύπο σε αυτό,Ίδιες τιμές για μερικά x,Ίδια εικόνα,β
Το σύνολο τιμών της f(x) = ln(x) είναι:,ℝ,"(0, ∞)","(-∞, 0)","[0, ∞)",α
Η μετατόπιση της f(x) κατά +2 στον άξονα y δίνεται από:,f(x) + 2,f(x - 2),f(x) - 2,f(x + 2),α
Η σύνθεση f(g(x)) ορίζεται μόνο όταν:,g(x) είναι παραγωγίσιμη,g(x) ∈ Αf,f(x) συνεχής,g(x) ρητή,β
"Αν f(x) = x², τότε το f(2) είναι:",2,4,8,6,β
"Αν f(x) = -x², τότε η γραφική της είναι:",Παραβολή με άνοιγμα κάτω,Γραμμή,Κύκλος,Εκθετική,α
Το πεδίο ορισμού της f(x) = ln(x - 3) είναι:,x > 3,x ≥ 3,x < 3,x ∈ ℝ,α
